file_id,record_id
222,3
222,4
222,37
224,17
224,19
224,23
224,33
224,36
224,42
224,43
226,2
226,3
226,17
226,21
226,24
227,4
227,7
227,11
227,23
227,30
227,32
227,33
228,7
228,9
228,19
228,36
229,1
229,13
229,14
229,23
229,27
229,32
229,34
230,2
230,3
230,5
230,6
230,9
230,25
230,30
230,33
231,1
231,8
231,11
231,17
231,19
231,27
231,33
231,34
232,15
232,23
232,29
232,36
233,29
233,36
234,0
234,10
234,11
234,20
234,31
234,34
234,36
234,38
234,46
234,47
235,6
235,12
235,17
235,24
235,29
236,0
236,2
236,9
236,29
236,33
236,34
237,4
237,10
237,33
237,34
237,35
238,1
238,2
238,4
238,12
238,24
238,31
239,4
239,10
239,16
239,26
239,33
239,37
239,40
240,8
240,10
240,12
240,19
240,29
240,34
240,37
240,44
240,49
241,14
241,20
241,27
242,1
242,9
242,14
242,19
242,24
242,31
242,37
242,39
243,3
243,11
243,13
243,26
244,21
244,39
244,43
245,6
245,16
245,17
245,22
245,25
245,32
246,7
246,10
246,25
246,37
246,42
246,43
247,7
247,13
247,19
247,21
247,23
247,45
247,50
247,55
248,6
248,16
248,20
248,23
248,40
248,45
249,1
249,2
249,4
249,5
249,28
250,6
250,26
250,34
250,43
250,50
251,1
251,19
251,21
251,22
251,25
251,39
251,40
252,2
252,11
252,12
252,17
252,23
252,26
252,34
252,37
252,38
253,10
253,18
253,21
253,31
253,33
254,6
254,17
254,19
254,28
254,31
254,32
254,44
255,26
255,29
255,30
255,37
255,47
256,1
256,2
256,7
256,9
256,13
256,34
256,35
256,38
257,4
257,6
257,7
257,8
257,14
257,15
257,19
257,37
257,44
258,1
258,9
258,12
258,22
258,31
258,33
258,40
259,13
259,41
259,48
259,50
259,53
261,2
261,8
261,10
261,21
261,24
262,0
262,2
262,4
262,11
262,15
262,18
262,32
262,46
262,47
263,8
263,14
263,23
263,25
263,26
263,30
263,32
263,34
263,35
264,7
264,8
264,15
264,22
264,26
264,32
264,34
264,37
265,2
265,19
265,28
265,32
266,2
266,7
266,12
266,14
266,26
266,28
266,30
266,31
266,38
266,39
267,2
267,7
267,15
267,32
267,33
267,35
267,36
267,37
268,0
268,30
268,35
268,36
268,40
268,45
269,3
269,5
269,10
269,13
269,16
269,20
269,26
269,35
269,37
270,1
270,16
270,20
271,1
271,14
271,29
271,41
272,5
272,7
272,14
272,15
272,18
272,19
272,31
272,35
272,39
272,41
272,42
273,1
273,4
273,5
273,6
273,8
273,9
273,10
273,11
273,16
273,19
273,23
273,25
273,29
274,0
274,3
274,9
274,15
274,19
274,22
274,30
275,0
275,4
275,18
276,3
276,7
276,15
276,21
276,24
276,31
276,32
277,24
277,41
277,42
278,5
278,8
278,9
278,14
278,30
278,38
278,44
279,1
279,12
279,14
279,36
280,0
280,12
280,15
280,37
282,10
282,28
282,33
284,3
284,10
284,13
284,25
284,28
284,32
284,35
284,36
285,5
285,13
285,21
285,24
285,36
285,37
285,38
286,33
286,35
286,38
287,5
287,12
287,14
287,18
287,26
287,32
288,3
288,18
288,23
288,24
288,35
289,9
289,13
289,14
289,17
289,19
289,20
289,32
289,33
290,8
290,10
290,11
290,12
290,15
290,17
290,20
290,26
291,25
291,35
291,46
291,51
292,3
292,13
292,29
292,32
292,34
293,1
293,4
293,5
293,10
293,18
293,22
293,36
296,29
296,31
296,33
296,44
296,50
297,6
297,8
297,14
297,27
297,37
297,41
298,3
298,17
298,19
298,20
298,36
299,8
299,10
300,5
300,12
300,13
300,26
300,27
300,29
300,30
300,38
301,9
301,12
301,16
301,18
301,27
301,30
301,33
301,36
302,2
302,8
302,9
302,11
302,30
302,36
302,40
302,47
302,48
303,2
303,4
303,12
303,14
303,18
303,35
303,36
304,24
304,35
305,6
305,18
305,30
305,37
305,42
306,4
306,5
